submission_id,start_form_time_stamp,end_form_time_stamp,sheet,section_id,quadrat,mainstem_tag,stem_tag,spcode,px,py,dbh,status,codes,hom,notes,dbh_2019,status_2019,codes_2019,notes_2019,new_secondary,scientific_name,unique_stem,date
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,2019-05-10 01:49:33 PM,2019-05-10 03:36:45 PM,form_meta_data,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notag_NA,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,155811,155811,LIBE3,2,0.7,2.2,LI,M,1.3,"NA",2.8,LI,M,NA,False,NA,notag_155811,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,155811,155812,LIBE3,2,0.7,1.6,LI,SEC,1.3,"NA",1.7,LI,SEC,NA,False,NA,notag_155812,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,155813,155813,LIBE3,2,2.4,1.4,LI,"NA",1.3,"NA",2.1,LI,NA,NA,False,NA,notag_155813,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,155814,155814,LIBE3,1.4,2.5,1.3,LI,"NA",1.3,"NA",2.2,LI,NA,NA,False,NA,notag_155814,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150092,150092,LIST2,3,0.6,32.9,LI,"NA",1.3,"NA",33.7,LI,NA,NA,False,NA,notag_150092,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150093,150093,TORA2,3,0.6,3.3,LI,"NA",1.3,"NA",2.4,DS,NA,NA,False,NA,notag_150093,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,155815,155815,LIBE3,2.9,2.6,1.8,LI,M,1.3,"NA",3,LI,M,NA,False,NA,notag_155815,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,155815,155816,LIBE3,2.9,2.6,1.5,LI,SEC,1.3,"NA",1.7,LI,SEC,NA,False,NA,notag_155816,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150095,150095,LIBE3,3,3.6,1.3,LI,M; L,1.3,North,NA,DC,NA,Tag collected,False,NA,notag_150095,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150095,155818,LIBE3,3,3.6,1.2,LI,SEC,1.3,"NA",1.9,LI,NA,NA,False,NA,notag_155818,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150098,150098,LIBE3,3,4,1.4,LI,"NA",1.3,"NA",1.5,DS,NA,NA,True,NA,notag_150098,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150100,150100,LIST2,0.6,6.4,43.2,LI,"NA",1.3,"NA",43.7,LI,NA,NA,False,NA,notag_150100,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150094,150094,LIST2,4.2,0,18.7,LI,"NA",1.3,"NA",18.6,DS,NA,NA,False,NA,notag_150094,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150099,150099,LIBE3,3,7.3,2.9,LI,M,1.3,"NA",3.1,LI,M,NA,False,NA,notag_150099,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150099,155822,LIBE3,3,7.3,1.1,LI,SEC,1.3,"NA",2,LI,SEC,NA,False,NA,notag_155822,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150402,150402,LIBE3,2.7,7.7,2.4,LI,M,1.3,"NA",2.3,DS,NA,NA,False,NA,notag_150402,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150402,155820,LIBE3,2.7,7.7,1.6,LI,SEC,1.3,"NA",2.7,LI,SEC,NA,False,NA,notag_155820,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150402,155819,LIBE3,2.7,7.7,1.7,LI,SEC,1.3,"NA",3,LI,M,NA,False,NA,notag_155819,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150402,150401,LIBE3,2.7,7.7,1.8,DS,WDBH,1.3,"NA",1.7,DS,NA,NA,False,NA,notag_150401,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150403,150403,LIBE3,4.5,9,2.6,LI,"NA",1.3,"NA",2.7,LI,NA,NA,False,NA,notag_150403,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150405,150405,LIBE3,4.5,9.7,1.2,LI,M,1.3,"NA",1.1,DS,NA,NA,True,NA,notag_150405,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150405,155817,LIBE3,4.5,9.7,1.2,LI,SEC; A,1.28,"NA",1.6,LI,A;M,NA,False,NA,notag_155817,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150408,150408,FAGR,9.3,9.1,9.6,LI,A,1.29,"NA",10.9,LI,A,NA,False,NA,notag_150408,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150407,150407,LIST2,8.9,8.4,50.3,LI,"NA",1.3,"NA",52.5,LI,NA,NA,False,NA,notag_150407,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150406,150406,FAGR,8.3,4.2,6.8,LI,"NA",1.3,"NA",8.4,LI,NA,NA,False,NA,notag_150406,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150096,150096,FAGR,4.9,2.4,18.7,LI,A,1.26,"NA",19.4,LI,A,NA,False,NA,notag_150096,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150404,150404,LIST2,2,3.5,0,DC,"NA","NA",left tag,NA,DC,MT,NA,False,NA,notag_150404,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,155823,155823,LIBE3,2,7.2,1.1,LI,"NA",1.3,"NA",NA,DC,RS,Tag collected,False,NA,notag_155823,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150097,150097,LIBE3,4.7,3.1,0,DC,RS,"NA",tag collected,NA,DN,RS,NA,False,NA,notag_150097,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,150409,150409,LIBE3,9.9,4.1,0,DC,RS; SP,"NA",tag collected,NA,DN,RS,NA,False,NA,notag_150409,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,original_stems,NA,1571,155821,155821,LIBE3,4.7,5,1,LI,"NA",1.3,"NA",NA,DN,NA,NA,True,NA,notag_155821,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,recruits,NA,1571,154920,154920,LIBE3,1,5.7,NA,NA,NA,1.3,NA,1.9,LI,NA,Coarse woody debris,False,Lindera,notag_154920,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,recruits,NA,1571,154921,154921,LIBE3,7,9.5,NA,NA,NA,1.3,NA,1.1,LI,NA,NA,False,Lindera,notag_154921,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,recruits,NA,1571,154922,154922,LIBE3,7.3,6,NA,NA,NA,1.3,NA,1,LI,NA,NA,False,Lindera,notag_154922,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,recruits,NA,1571,154923,154923,LIBE3,5.6,5,NA,NA,NA,1.3,NA,1,LI,NA,NA,False,Lindera,notag_154923,2019-05-10
NA,NA,NA,new_secondary_stems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notag_NA,NA
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,secondary_recruits,NA,1571,154920,NA,LIBE3,1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notag_NA,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,secondary_recruits,NA,1571,154921,NA,LIBE3,7,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notag_NA,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,secondary_recruits,NA,1571,154922,NA,LIBE3,7.3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notag_NA,2019-05-10
5010665d-1701-4fdf-ae9d-870f5fe7cf7c,NA,NA,secondary_recruits,NA,1571,154923,NA,LIBE3,5.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notag_NA,2019-05-10
